Id,Image_url,Description,Item
1,https://images.pexels.com/photos/416717/pexels-photo-416717.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Assortment of Kettle Bells that can be used for many different exercises.,Kettle Bell Set
2,https://images.pexels.com/photos/949129/pexels-photo-949129.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Gym standard olympic barbell that is useful for exercising any major muscle groups. Plates not included and must be bought separately.,Olympic Barbell
3,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Post Workout Rejuvenating potion that will help rebuild your muscles faster after a difficult workout,Zeta Post Workout Rejuvenator
4,https://images.pexels.com/photos/39671/physiotherapy-weight-training-dumbbell-exercise-balls-39671.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Colored Dumbbells that not only look great but are useful for light isolation movements,Colored Dumbbells
5,https://images.pexels.com/photos/3766180/pexels-photo-3766180.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Get inspired to drink more water with this 1000ml water bottle from Hydromate,Hydromate Water Bottle
6,https://images.pexels.com/photos/3465383/pexels-photo-3465383.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Hemp Oil set from the Tree of Life Group,Tree of Life CBD Hemp Oil Set
7,https://images.pexels.com/photos/3612199/pexels-photo-3612199.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Lemon-flavored water Soluble 500mg wellness drops from Binoid,Binoid CBD Wellness Drops
8,https://images.pexels.com/photos/3059398/pexels-photo-3059398.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,Replenish yourself after a hard workout with the Muscle Recovery Cream from Ancient Omegas,Ancient Omegas Muscle Recovery Cream
9,https://images.unsplash.com/photo-1599075363999-9e1091ef3616?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1950&q=80,Give your post-workout bath an extra kick with Resilience CBD Bathbombs,Resilience CBD Bathbombs
10,https://images.unsplash.com/photo-1559856670-8ebe0a4cbc39?ixlib=rb-1.2.1&auto=format&fit=crop&w=1400&q=80,Hemp Oil Set from the trusted scientists at Pharma,Pharma Hemp Oil Set
11,https://images.unsplash.com/photo-1519505907962-0a6cb0167c73?ixlib=rb-1.2.1&auto=format&fit=crop&w=1950&q=80,Get a great back workout at home with Concept’s Rowing Machine,Concept Row Machine
12,https://images.pexels.com/photos/4164508/pexels-photo-4164508.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Wooden Gymnastic Rings to take your calisthenics workouts to the next level,Wooden Gymnast Rings
13,https://images.unsplash.com/photo-1580261450046-d0a30080dc9b?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=953&q=80,Classic Power Rack with Safety bars and barbells included,Zeta Power Rack
14,https://images.unsplash.com/photo-1558611848-73f7eb4001a1?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1951&q=80,Standard Home Gym set up complete with an assortment of free weights and a weight bench included,Home Gym Set up
15,https://images.unsplash.com/photo-1599058917212-d750089bc07e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1949&q=80,Power Training Rope useful for full body training,Resilience Power Training Ropes
16,https://images.unsplash.com/photo-1524638067-feba7e8ed70f?ixlib=rb-1.2.1&auto=format&fit=crop&w=934&q=80,Nutritional Supplement that you can take post workout or whenever you need some more energy during the day,Pressed Vitality Shot
17,https://images.unsplash.com/photo-1596177582967-a5d143a41237?ixlib=rb-1.2.1&auto=format&fit=crop&w=934&q=80,Naturally-made pre-workout serum that will help you explode through your training sessions,Ancient Omegas Whole Body Serum
18,https://images.unsplash.com/photo-1598632640487-6ea4a4e8b963?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1949&q=80,Exercise Ball useful for many full body workouts,TRK Exercise Ball
19,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1951&q=80,"Exercise Equipment Set that comes with a resistance band and a set of dumbbells, very useful for at home workouts",Resistance Band/Dumbbell Set
20,https://images.unsplash.com/photo-1590238868893-85f766f145fb?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1567&q=80,Weight lifting bench useful for a variety of workouts; does not come with weights included,Fitness Weight Bench
21,https://images.pexels.com/photos/45056/pexels-photo-45056.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,Standard Jump Rope to help you get more cardio in your workout sessions,Durable SRK Jump Rope
22,https://www.pexels.com/photo/exercise-equipment-gym-sport-workout-45058/,Hand grips from TRK that can help you increase your grip strength,TRK Black and Blue Hand Grips
23,https://images.pexels.com/photos/4162449/pexels-photo-4162449.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Train like a pro boxer with Zeta’s du,Zeta Exercise Bag
24,https://images.unsplash.com/photo-1522898467493-49726bf28798?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1950&q=80,Exercise Ball useful for many full body workouts,Yunmai Exercise Ball
